P ( kPa ),ln(v/v?),V ( m3 )
204.535,0,9.505E-05
204.474,0.000315573557555,9.508E-05
204.535,0.000105202251425,9.506E-05
204.474,0.000315573557555,9.508E-05
204.413,0.000315573557555,9.508E-05
204.413,0.000315573557555,9.508E-05
204.352,0.000315573557555,9.508E-05
204.23,0.000315573557555,9.508E-05
204.047,0.001156616500319,9.516E-05
202.338,0.007233115029925,9.574E-05
202.216,0.007859616042377,9.58E-05
201.178,0.011714389789952,9.617E-05
199.225,0.019998583382017,9.697E-05
196.844,0.029747749829578,9.792E-05
195.746,0.034739355976456,9.841E-05
192.938,0.045151378268017,9.944E-05
192.816,0.046357408564953,9.956E-05
190.374,0.057742730790078,0.0001007
188.665,0.065655729547404,0.0001015
188.482,0.067624234120076,0.0001017
186.041,0.078382284086626,0.0001028
185.064,0.08420189313989,0.0001034
185.186,0.08420189313989,0.0001034
184.637,0.08806290179735,0.0001038
184.088,0.090948906686485,0.0001041
183.599,0.0938266065141,0.0001044
182.44,0.100509208948467,0.0001051
181.768,0.103359567172824,0.0001054
182.012,0.103359567172824,0.0001054
182.073,0.103359567172824,0.0001054
181.585,0.107147450489761,0.0001058
181.463,0.107147450489761,0.0001058
181.524,0.108092183672922,0.0001059
179.754,0.117490749096561,0.0001069
178.228,0.124017578793246,0.0001076
177.74,0.12680180332965,0.0001079
177.74,0.128653655710724,0.0001081
177.801,0.128653655710724,0.0001081
178.045,0.128653655710724,0.0001081
178.167,0.128653655710724,0.0001081
176.458,0.136944813294705,0.000109
175.542,0.142434305579477,0.0001096
175.726,0.142434305579477,0.0001096
175.054,0.146077296857978,0.00011
174.871,0.146985974794196,0.0001101
174.993,0.146985974794196,0.0001101
174.627,0.148800857325018,0.0001103
172.979,0.157826189347061,0.0001113
172.552,0.160517981012772,0.0001116
172.674,0.160517981012772,0.0001116
171.88,0.165879924154158,0.0001122
171.087,0.170326352111292,0.0001127
171.209,0.170326352111292,0.0001127
171.209,0.17121327012952,0.0001128
170.354,0.175636099099522,0.0001133
170.171,0.177399767987019,0.0001135
169.805,0.179160331822052,0.0001137
169.561,0.180917801518698,0.0001139
168.462,0.187916955200887,0.0001147
168.401,0.187916955200887,0.0001147
167.608,0.192266679327352,0.0001152
166.57,0.197461496204456,0.0001158
166.082,0.200909775483372,0.0001162
166.204,0.20176999059018,0.0001163
164.8,0.209478808208474,0.0001172
164.19,0.212885966530088,0.0001176
163.823,0.215433738608887,0.0001179
163.823,0.216281555531226,0.000118
163.945,0.216281555531226,0.000118
164.006,0.217128654268878,0.0001181
162.603,0.223879734762298,0.0001189
161.931,0.227238260169432,0.0001193
162.114,0.228076132024063,0.0001194
162.175,0.228076132024063,0.0001194
162.053,0.229749772582093,0.0001196
161.016,0.235585554046195,0.0001203
160.894,0.236416463940282,0.0001204
160.71,0.238076215358647,0.0001206
160.161,0.241387476662303,0.000121
159.49,0.245511193846165,0.0001215
159.001,0.248797967552788,0.0001219
158.33,0.252073973758688,0.0001223
158.208,0.253707961050343,0.0001225
158.147,0.255339282782427,0.0001227
157.476,0.258593964255969,0.0001231
156.987,0.262647476089152,0.0001236
156.621,0.265071719700658,0.0001239
156.377,0.265878496670598,0.000124
156.56,0.265878496670598,0.000124
156.621,0.266684623276123,0.0001241
156.621,0.266684623276123,0.0001241
155.766,0.270705537418914,0.0001246
155.339,0.273910668367863,0.000125
155.583,0.273910668367863,0.000125
155.583,0.273910668367863,0.000125
155.644,0.273910668367863,0.000125
154.546,0.280290275331902,0.0001258
152.348,0.291357581971583,0.0001272
151.799,0.295280694104055,0.0001277
152.043,0.295280694104055,0.0001277
151.982,0.296063473008996,0.0001278
151.189,0.300747322321422,0.0001284
151.189,0.301525835400836,0.0001285
151.189,0.301525835400836,0.0001285
151.311,0.301525835400836,0.0001285
151.189,0.303857744735815,0.0001288
150.822,0.304633841010703,0.0001289
150.822,0.305409335427234,0.000129
150.578,0.306958522414063,0.0001292
150.395,0.308505313132362,0.0001294
150.639,0.308505313132362,0.0001294
150.395,0.310049714983736,0.0001296
149.968,0.313131381521144,0.00013
149.541,0.315436415196361,0.0001303
149.419,0.316203580558114,0.0001304
149.602,0.316203580558114,0.0001304
149.052,0.31926637008866,0.0001308
148.015,0.324603782683381,0.0001315
147.954,0.325363949956778,0.0001316
147.71,0.32764099078883,0.0001319
147.221,0.331424574568469,0.0001324
146.916,0.333687872403723,0.0001327
146.916,0.334441168107895,0.0001328
146.977,0.334441168107895,0.0001328
147.038,0.334441168107895,0.0001328
146.428,0.338199158250225,0.0001333
