"nR","V"
"1",6.41485710269865e-05,3.4034322124652e-07
"2",6.40039315953281e-05,3.4403132425287e-07
"3",6.40407009276984e-05,3.46046237667501e-07
"4",6.40824896421089e-05,3.46043921474134e-07
"5",6.41398925720788e-05,3.4738374525192e-07
"6",6.41346470237816e-05,3.48391242361162e-07
"7",6.41488335045733e-05,3.49396421029381e-07
"8",6.41717140954287e-05,3.51741471691672e-07
"9",6.41182716024592e-05,3.52747852220738e-07
"10",6.42039123290239e-05,3.52745491116101e-07
"11",6.42249999163323e-05,3.52743130043072e-07
"12",6.42957309522694e-05,3.54080628643717e-07
"13",6.42516729918408e-05,3.54075888703707e-07
"14",6.43335908007818e-05,3.54408181842521e-07
"15",6.43082889901809e-05,3.57757207017262e-07
"16",6.41809525403195e-05,3.60105889873193e-07
"17",6.41834592807277e-05,3.61108694051579e-07
"18",6.43015669029404e-05,3.61773190632049e-07
"19",6.43234197994023e-05,3.61771979906763e-07
"20",6.44108299225932e-05,3.61767137086653e-07
"21",6.44541027056875e-05,3.61762294396198e-07
"22",6.43681859101573e-05,3.64779074398198e-07
"23",6.43876066745648e-05,3.66793170150532e-07
"24",6.44542337940497e-05,3.6678826009839e-07
"25",6.44423026080205e-05,3.68128135364062e-07
"26",6.44332421940363e-05,3.68461564204679e-07
"27",6.44779787223362e-05,3.68460331112309e-07
"28",6.44595720400384e-05,3.69127179875039e-07
"29",6.44312156970362e-05,3.72479987148938e-07
"30",6.44456227598416e-05,3.7348522624972e-07
"31",6.44909721292603e-05,3.73483976332628e-07
"32",6.45395571738374e-05,3.75491954700008e-07
"33",6.45285064556937e-05,3.77167794488732e-07
"34",6.45740887124843e-05,3.77165270006158e-07
"35",6.4630737154924e-05,3.77496143046943e-07
"36",6.45936795534256e-05,3.79173248373538e-07
"37",6.46377581071584e-05,3.79840032127439e-07
"38",6.46126070499885e-05,3.80510627189944e-07
"39",6.46328210808839e-05,3.81177399761053e-07
"40",6.46657923007158e-05,3.83859815867767e-07
"41",6.46417278538201e-05,3.83855961982531e-07
"42",6.46182217343579e-05,3.85531846536907e-07
"43",6.45531567410184e-05,3.87543715801275e-07
"44",6.45865798315953e-05,3.88883682949358e-07
"45",6.46892137373413e-05,3.89215745333092e-07
"46",6.46402120474831e-05,3.92234296404631e-07
"47",6.46209638554217e-05,3.93574297188755e-07
"48",6.46410030120482e-05,3.94578313253012e-07
"49",6.46956134684958e-05,3.94911663615584e-07
"50",6.47427093164127e-05,3.9490505545404e-07
"51",6.48216856421892e-05,3.95239720755273e-07
"52",6.47029380463448e-05,3.979197065635e-07
"53",6.465295731942e-05,3.99262385333382e-07
"54",6.47794099830993e-05,3.99591706966082e-07
"55",6.48035682014417e-05,3.99590369671292e-07
"56",6.48630681342806e-05,4.00258360747907e-07
"57",6.48254211762816e-05,4.02602357382382e-07
"58",6.48301493276574e-05,4.02937022683614e-07
"59",6.48633599614467e-05,4.03605002560181e-07
"60",6.48561814147594e-05,4.0494365928509e-07
"61",6.48515592056385e-05,4.06618340997169e-07
"62",6.48655713071357e-05,4.07957002202098e-07
"63",6.48046499019417e-05,4.09301142562633e-07
"64",6.48599588360302e-05,4.09966366024665e-07
"65",6.49405865344069e-05,4.10634324611956e-07
"66",6.48760750322117e-05,4.11974364552133e-07
"67",6.4937093632658e-05,4.13646312323046e-07
"68",6.49431632670136e-05,4.1465169592209e-07
"69",6.48941052053841e-05,4.14984973527975e-07
"70",6.49696125940403e-05,4.14982195925143e-07
