P ( kPa ),lnV,V ( m3 )
204.5350,0,9.51E-05
204.4740,0.000315573557555,9.51E-05
204.5350,0.000105202251425,9.51E-05
204.4740,0.000315573557555,9.51E-05
204.4130,0.000315573557555,9.51E-05
204.4130,0.000315573557555,9.51E-05
204.3520,0.000315573557555,9.51E-05
204.2300,0.000315573557555,9.51E-05
204.0470,0.001156616500319,9.52E-05
202.3380,0.007233115029925,9.57E-05
202.2160,0.007859616042377,9.58E-05
201.1780,0.011714389789952,9.62E-05
199.2250,0.019998583382017,9.70E-05
196.8440,0.029747749829578,9.79E-05
195.7460,0.034739355976456,9.84E-05
192.9380,0.045151378268017,9.94E-05
192.8160,0.046357408564953,9.96E-05
190.3740,0.057742730790078,1.01E-04
188.6650,0.065655729547404,1.02E-04
188.4820,0.067624234120076,1.02E-04
186.0410,0.078382284086627,1.03E-04
185.0640,0.08420189313989,1.03E-04
185.1860,0.08420189313989,1.03E-04
184.6370,0.08806290179735,1.04E-04
184.0880,0.090948906686485,1.04E-04
183.5990,0.0938266065141,1.04E-04
182.4400,0.100509208948467,1.05E-04
181.7680,0.103359567172824,1.05E-04
182.0120,0.103359567172824,1.05E-04
182.0730,0.103359567172824,1.05E-04
181.5850,0.107147450489761,1.06E-04
181.4630,0.107147450489761,1.06E-04
181.5240,0.108092183672923,1.06E-04
179.7540,0.117490749096561,1.07E-04
178.2280,0.124017578793246,1.08E-04
177.7400,0.126801803329651,1.08E-04
177.7400,0.128653655710724,1.08E-04
177.8010,0.128653655710724,1.08E-04
178.0450,0.128653655710724,1.08E-04
178.1670,0.128653655710724,1.08E-04
176.4580,0.136944813294705,1.09E-04
175.5420,0.142434305579477,1.10E-04
175.7260,0.142434305579477,1.10E-04
175.0540,0.146077296857978,1.10E-04
174.8710,0.146985974794196,1.10E-04
174.9930,0.146985974794196,1.10E-04
174.6270,0.148800857325019,1.10E-04
172.9790,0.157826189347061,1.11E-04
172.5520,0.160517981012772,1.12E-04
172.6740,0.160517981012772,1.12E-04
171.8800,0.165879924154158,1.12E-04
171.0870,0.170326352111292,1.13E-04
171.2090,0.170326352111292,1.13E-04
171.2090,0.17121327012952,1.13E-04
170.3540,0.175636099099522,1.13E-04
170.1710,0.177399767987019,1.14E-04
169.8050,0.179160331822052,1.14E-04
169.5610,0.180917801518698,1.14E-04
168.4620,0.187916955200887,1.15E-04
168.4010,0.187916955200887,1.15E-04
167.6080,0.192266679327353,1.15E-04
166.5700,0.197461496204457,1.16E-04
166.0820,0.200909775483372,1.16E-04
166.2040,0.20176999059018,1.16E-04
164.8000,0.209478808208474,1.17E-04
164.1900,0.212885966530088,1.18E-04
163.8230,0.215433738608887,1.18E-04
163.8230,0.216281555531226,1.18E-04
163.9450,0.216281555531226,1.18E-04
164.0060,0.217128654268878,1.18E-04
162.6030,0.223879734762298,1.19E-04
161.9310,0.227238260169432,1.19E-04
162.1140,0.228076132024063,1.19E-04
162.1750,0.228076132024063,1.19E-04
162.0530,0.229749772582093,1.20E-04
161.0160,0.235585554046195,1.20E-04
160.8940,0.236416463940282,1.20E-04
160.7100,0.238076215358647,1.21E-04
160.1610,0.241387476662303,1.21E-04
159.4900,0.245511193846165,1.22E-04
159.0010,0.248797967552788,1.22E-04
158.3300,0.252073973758688,1.22E-04
158.2080,0.253707961050343,1.23E-04
158.1470,0.255339282782427,1.23E-04
157.4760,0.258593964255969,1.23E-04
156.9870,0.262647476089152,1.24E-04
156.6210,0.265071719700659,1.24E-04
156.3770,0.265878496670599,1.24E-04
156.5600,0.265878496670599,1.24E-04
156.6210,0.266684623276123,1.24E-04
156.6210,0.266684623276123,1.24E-04
155.7660,0.270705537418914,1.25E-04
155.3390,0.273910668367863,1.25E-04
155.5830,0.273910668367863,1.25E-04
155.5830,0.273910668367863,1.25E-04
155.6440,0.273910668367863,1.25E-04
154.5460,0.280290275331902,1.26E-04
152.3480,0.291357581971583,1.27E-04
151.7990,0.295280694104055,1.28E-04
152.0430,0.295280694104055,1.28E-04
151.9820,0.296063473008996,1.28E-04
151.1890,0.300747322321423,1.28E-04
