Tiempo ( s )	P ( kPa )
0.0000	204.535
0.1000	204.474
0.2000	204.535
0.3000	204.474
0.4000	204.413
0.5000	204.413
0.6000	204.352
0.7000	204.230
0.8000	204.047
0.9000	202.338
1.0000	202.216
1.1000	201.178
1.2000	199.225
1.3000	196.844
1.4000	195.746
1.5000	192.938
1.6000	192.816
1.7000	190.374
1.8000	188.665
1.9000	188.482
2.0000	186.041
2.1000	185.064
2.2000	185.186
2.3000	184.637
2.4000	184.088
2.5000	183.599
2.6000	182.440
2.7000	181.768
2.8000	182.012
2.9000	182.073
3.0000	181.585
3.1000	181.463
3.2000	181.524
3.3000	179.754
3.4000	178.228
3.5000	177.740
3.6000	177.740
3.7000	177.801
3.8000	178.045
3.9000	178.167
4.0000	176.458
4.1000	175.542
4.2000	175.726
4.3000	175.054
4.4000	174.871
4.5000	174.993
4.6000	174.627
4.7000	172.979
4.8000	172.552
4.9000	172.674
5.0000	171.880
5.1000	171.087
5.2000	171.209
5.3000	171.209
5.4000	170.354
5.5000	170.171
5.6000	169.805
5.7000	169.561
5.8000	168.462
5.9000	168.401
6.0000	167.608
6.1000	166.570
6.2000	166.082
6.3000	166.204
6.4000	164.800
6.5000	164.190
6.6000	163.823
6.7000	163.823
6.8000	163.945
6.9000	164.006
7.0000	162.603
7.1000	161.931
7.2000	162.114
7.3000	162.175
7.4000	162.053
7.5000	161.016
7.6000	160.894
7.7000	160.710
7.8000	160.161
7.9000	159.490
8.0000	159.001
8.1000	158.330
8.2000	158.208
8.3000	158.147
8.4000	157.476
8.5000	156.987
8.6000	156.621
8.7000	156.377
8.8000	156.560
8.9000	156.621
9.0000	156.621
9.1000	155.766
9.2000	155.339
9.3000	155.583
9.4000	155.583
9.5000	155.644
9.6000	154.546
9.7000	152.348
9.8000	151.799
9.9000	152.043
10.0000	151.982
10.1000	151.189
10.2000	151.189
10.3000	151.189
10.4000	151.311
10.5000	151.189
10.6000	150.822
10.7000	150.822
10.8000	150.578
10.9000	150.395
11.0000	150.639
11.1000	150.395
11.2000	149.968
11.3000	149.541
11.4000	149.419
11.5000	149.602
11.6000	149.052
11.7000	148.015
11.8000	147.954
11.9000	147.710
12.0000	147.221
12.1000	146.916
12.2000	146.916
12.3000	146.977
12.4000	147.038
12.5000	146.428
12.6000	145.940
12.7000	146.001
12.8000	146.184
12.9000	146.184
13.0000	146.245
13.1000	146.306
13.2000	146.367
13.3000	145.756
13.4000	145.573
13.5000	145.329
13.6000	144.108
13.7000	142.521
13.8000	142.582
13.9000	142.399
14.0000	142.399
14.1000	141.789
14.2000	140.690
14.3000	140.568
14.4000	140.568
14.5000	139.775
14.6000	139.225
14.7000	138.737
14.8000	138.493
14.9000	138.188
15.0000	137.761
15.1000	137.333
15.2000	137.211
15.3000	137.028
15.4000	136.662
15.5000	136.174
15.6000	135.746
15.7000	135.502
15.8000	135.319
15.9000	134.953
16.0000	134.770
16.1000	134.892
16.2000	134.953
