Volumen ( m3 )	Presion ( kPa )
9.505E-5	204.535
9.508E-5	204.474
9.506E-5	204.535
9.508E-5	204.474
9.508E-5	204.413
9.508E-5	204.413
9.508E-5	204.352
9.508E-5	204.230
9.516E-5	204.047
9.574E-5	202.338
9.580E-5	202.216
9.617E-5	201.178
9.697E-5	199.225
9.792E-5	196.844
9.841E-5	195.746
9.944E-5	192.938
9.956E-5	192.816
1.007E-4	190.374
1.015E-4	188.665
1.017E-4	188.482
1.028E-4	186.041
1.034E-4	185.064
1.034E-4	185.186
1.038E-4	184.637
1.041E-4	184.088
1.044E-4	183.599
1.051E-4	182.440
1.054E-4	181.768
1.054E-4	182.012
1.054E-4	182.073
1.058E-4	181.585
1.058E-4	181.463
1.059E-4	181.524
1.069E-4	179.754
1.076E-4	178.228
1.079E-4	177.740
1.081E-4	177.740
1.081E-4	177.801
1.081E-4	178.045
1.081E-4	178.167
1.090E-4	176.458
1.096E-4	175.542
1.096E-4	175.726
1.100E-4	175.054
1.101E-4	174.871
1.101E-4	174.993
1.103E-4	174.627
1.113E-4	172.979
1.116E-4	172.552
1.116E-4	172.674
1.122E-4	171.880
1.127E-4	171.087
1.127E-4	171.209
1.128E-4	171.209
1.133E-4	170.354
1.135E-4	170.171
1.137E-4	169.805
1.139E-4	169.561
1.147E-4	168.462
1.147E-4	168.401
1.152E-4	167.608
1.158E-4	166.570
1.162E-4	166.082
1.163E-4	166.204
1.172E-4	164.800
1.176E-4	164.190
1.179E-4	163.823
1.180E-4	163.823
1.180E-4	163.945
1.181E-4	164.006
1.189E-4	162.603
1.193E-4	161.931
1.194E-4	162.114
1.194E-4	162.175
1.196E-4	162.053
1.203E-4	161.016
1.204E-4	160.894
1.206E-4	160.710
1.210E-4	160.161
1.215E-4	159.490
1.219E-4	159.001
1.223E-4	158.330
1.225E-4	158.208
1.227E-4	158.147
1.231E-4	157.476
1.236E-4	156.987
1.239E-4	156.621
1.240E-4	156.377
1.240E-4	156.560
1.241E-4	156.621
1.241E-4	156.621
1.246E-4	155.766
1.250E-4	155.339
1.250E-4	155.583
1.250E-4	155.583
1.250E-4	155.644
1.258E-4	154.546
1.272E-4	152.348
1.277E-4	151.799
1.277E-4	152.043
1.278E-4	151.982
1.284E-4	151.189
1.285E-4	151.189
1.285E-4	151.189
1.285E-4	151.311
1.288E-4	151.189
1.289E-4	150.822
1.290E-4	150.822
1.292E-4	150.578
1.294E-4	150.395
1.294E-4	150.639
1.296E-4	150.395
1.300E-4	149.968
1.303E-4	149.541
1.304E-4	149.419
1.304E-4	149.602
1.308E-4	149.052
1.315E-4	148.015
1.316E-4	147.954
1.319E-4	147.710
1.324E-4	147.221
1.327E-4	146.916
1.328E-4	146.916
1.328E-4	146.977
1.328E-4	147.038
1.333E-4	146.428
1.337E-4	145.940
1.337E-4	146.001
1.337E-4	146.184
1.337E-4	146.184
1.337E-4	146.245
1.337E-4	146.306
1.337E-4	146.367
1.341E-4	145.756
1.342E-4	145.573
1.346E-4	145.329
1.355E-4	144.108
1.368E-4	142.521
1.369E-4	142.582
1.371E-4	142.399
1.372E-4	142.399
1.376E-4	141.789
1.386E-4	140.690
1.388E-4	140.568
1.390E-4	140.568
1.395E-4	139.775
1.400E-4	139.225
1.406E-4	138.737
1.409E-4	138.493
1.410E-4	138.188
1.416E-4	137.761
1.420E-4	137.333
1.422E-4	137.211
1.424E-4	137.028
1.429E-4	136.662
1.434E-4	136.174
1.437E-4	135.746
1.440E-4	135.502
1.443E-4	135.319
1.447E-4	134.953
1.449E-4	134.770
1.449E-4	134.892
1.449E-4	134.953
1.452E-4	134.770
1.459E-4	133.976
1.463E-4	133.732
1.464E-4	133.610
1.467E-4	133.366
1.470E-4	133.183
1.471E-4	133.122
1.471E-4	133.244
1.472E-4	133.244
1.471E-4	133.305
1.471E-4	133.366
1.472E-4	133.488
1.474E-4	133.183
1.480E-4	132.572
1.483E-4	132.267
1.485E-4	132.145
1.487E-4	131.962
1.487E-4	132.023
1.487E-4	132.145
1.487E-4	132.084
1.487E-4	132.206
1.487E-4	132.267
1.488E-4	132.145
1.494E-4	131.535
1.500E-4	130.924
1.502E-4	130.741
1.502E-4	130.741
1.503E-4	130.863
1.503E-4	130.863
1.503E-4	130.863
1.504E-4	130.802
1.506E-4	130.680
1.509E-4	130.375
1.510E-4	130.253
1.511E-4	130.253
1.512E-4	130.009
1.516E-4	129.826
1.522E-4	129.154
1.528E-4	128.849
1.529E-4	128.605
1.531E-4	128.483
1.532E-4	128.422
1.534E-4	128.239
1.536E-4	128.056
1.535E-4	128.117
1.536E-4	128.178
1.542E-4	127.689
1.545E-4	127.262
1.546E-4	127.262
1.546E-4	127.384
1.551E-4	126.896
1.558E-4	126.164
1.560E-4	126.164
1.559E-4	126.286
1.560E-4	126.164
1.563E-4	125.919
1.566E-4	125.675
1.568E-4	125.492
1.570E-4	125.431
1.570E-4	125.370
1.575E-4	125.004
1.579E-4	124.516
1.582E-4	124.332
1.587E-4	123.905
1.593E-4	123.478
1.596E-4	123.295
1.598E-4	123.051
1.602E-4	122.684
