Tiempo ( s )	T ( K )
0.0000	298.891
0.1000	298.890
0.2000	298.889
0.3000	298.889
0.4000	298.889
0.5000	298.889
0.6000	298.889
0.7000	298.887
0.8000	298.887
0.9000	298.879
1.0000	298.874
1.1000	298.871
1.2000	298.863
1.3000	298.851
1.4000	298.845
1.5000	298.835
1.6000	298.830
1.7000	298.824
1.8000	298.816
1.9000	298.816
2.0000	298.810
2.1000	298.804
2.2000	298.806
2.3000	298.805
2.4000	298.802
2.5000	298.801
2.6000	298.799
2.7000	298.797
2.8000	298.799
2.9000	298.801
3.0000	298.802
3.1000	298.806
3.2000	298.808
3.3000	298.806
3.4000	298.801
3.5000	298.802
3.6000	298.806
3.7000	298.807
3.8000	298.811
3.9000	298.815
4.0000	298.811
4.1000	298.806
4.2000	298.810
4.3000	298.809
4.4000	298.810
4.5000	298.811
4.6000	298.813
4.7000	298.808
4.8000	298.807
4.9000	298.808
5.0000	298.808
5.1000	298.806
5.2000	298.808
5.3000	298.811
5.4000	298.808
5.5000	298.810
5.6000	298.809
5.7000	298.811
5.8000	298.807
5.9000	298.810
6.0000	298.808
6.1000	298.805
6.2000	298.804
6.3000	298.806
6.4000	298.801
6.5000	298.800
6.6000	298.800
6.7000	298.801
6.8000	298.806
6.9000	298.806
7.0000	298.804
7.1000	298.801
7.2000	298.805
7.3000	298.806
7.4000	298.807
7.5000	298.806
7.6000	298.806
7.7000	298.807
7.8000	298.807
7.9000	298.806
8.0000	298.806
8.1000	298.802
8.2000	298.805
8.3000	298.806
8.4000	298.805
8.5000	298.806
8.6000	298.805
8.7000	298.806
8.8000	298.808
8.9000	298.811
9.0000	298.812
9.1000	298.811
9.2000	298.811
9.3000	298.813
9.4000	298.816
9.5000	298.817
9.6000	298.815
9.7000	298.805
9.8000	298.801
9.9000	298.806
10.0000	298.806
10.1000	298.805
10.2000	298.806
10.3000	298.808
10.4000	298.811
10.5000	298.811
10.6000	298.811
10.7000	298.814
10.8000	298.816
10.9000	298.816
11.0000	298.818
11.1000	298.819
11.2000	298.820
11.3000	298.819
11.4000	298.820
11.5000	298.821
11.6000	298.821
11.7000	298.816
11.8000	298.816
11.9000	298.816
12.0000	298.816
12.1000	298.816
12.2000	298.817
12.3000	298.818
12.4000	298.821
12.5000	298.819
12.6000	298.816
12.7000	298.819
12.8000	298.821
12.9000	298.823
13.0000	298.825
13.1000	298.827
13.2000	298.830
13.3000	298.829
13.4000	298.826
13.5000	298.826
13.6000	298.821
13.7000	298.811
13.8000	298.811
