Tiempo ( s )	V ( m3 )
0.0000	9.505E-5
0.1000	9.508E-5
0.2000	9.506E-5
0.3000	9.508E-5
0.4000	9.508E-5
0.5000	9.508E-5
0.6000	9.508E-5
0.7000	9.508E-5
0.8000	9.516E-5
0.9000	9.574E-5
1.0000	9.580E-5
1.1000	9.617E-5
1.2000	9.697E-5
1.3000	9.792E-5
1.4000	9.841E-5
1.5000	9.944E-5
1.6000	9.956E-5
1.7000	1.007E-4
1.8000	1.015E-4
1.9000	1.017E-4
2.0000	1.028E-4
2.1000	1.034E-4
2.2000	1.034E-4
2.3000	1.038E-4
2.4000	1.041E-4
2.5000	1.044E-4
2.6000	1.051E-4
2.7000	1.054E-4
2.8000	1.054E-4
2.9000	1.054E-4
3.0000	1.058E-4
3.1000	1.058E-4
3.2000	1.059E-4
3.3000	1.069E-4
3.4000	1.076E-4
3.5000	1.079E-4
3.6000	1.081E-4
3.7000	1.081E-4
3.8000	1.081E-4
3.9000	1.081E-4
4.0000	1.090E-4
4.1000	1.096E-4
4.2000	1.096E-4
4.3000	1.100E-4
4.4000	1.101E-4
4.5000	1.101E-4
4.6000	1.103E-4
4.7000	1.113E-4
4.8000	1.116E-4
4.9000	1.116E-4
5.0000	1.122E-4
5.1000	1.127E-4
5.2000	1.127E-4
5.3000	1.128E-4
5.4000	1.133E-4
5.5000	1.135E-4
5.6000	1.137E-4
5.7000	1.139E-4
5.8000	1.147E-4
5.9000	1.147E-4
6.0000	1.152E-4
6.1000	1.158E-4
6.2000	1.162E-4
6.3000	1.163E-4
6.4000	1.172E-4
6.5000	1.176E-4
6.6000	1.179E-4
6.7000	1.180E-4
6.8000	1.180E-4
6.9000	1.181E-4
7.0000	1.189E-4
7.1000	1.193E-4
7.2000	1.194E-4
7.3000	1.194E-4
7.4000	1.196E-4
7.5000	1.203E-4
7.6000	1.204E-4
7.7000	1.206E-4
7.8000	1.210E-4
7.9000	1.215E-4
8.0000	1.219E-4
8.1000	1.223E-4
8.2000	1.225E-4
8.3000	1.227E-4
8.4000	1.231E-4
8.5000	1.236E-4
8.6000	1.239E-4
8.7000	1.240E-4
8.8000	1.240E-4
8.9000	1.241E-4
9.0000	1.241E-4
9.1000	1.246E-4
9.2000	1.250E-4
9.3000	1.250E-4
9.4000	1.250E-4
9.5000	1.250E-4
9.6000	1.258E-4
9.7000	1.272E-4
9.8000	1.277E-4
9.9000	1.277E-4
10.0000	1.278E-4
10.1000	1.284E-4
10.2000	1.285E-4
10.3000	1.285E-4
10.4000	1.285E-4
10.5000	1.288E-4
10.6000	1.289E-4
10.7000	1.290E-4
10.8000	1.292E-4
10.9000	1.294E-4
11.0000	1.294E-4
11.1000	1.296E-4
11.2000	1.300E-4
11.3000	1.303E-4
11.4000	1.304E-4
11.5000	1.304E-4
11.6000	1.308E-4
11.7000	1.315E-4
11.8000	1.316E-4
11.9000	1.319E-4
12.0000	1.324E-4
12.1000	1.327E-4
12.2000	1.328E-4
12.3000	1.328E-4
12.4000	1.328E-4
12.5000	1.333E-4
12.6000	1.337E-4
12.7000	1.337E-4
12.8000	1.337E-4
12.9000	1.337E-4
13.0000	1.337E-4
13.1000	1.337E-4
13.2000	1.337E-4
13.3000	1.341E-4
13.4000	1.342E-4
13.5000	1.346E-4
13.6000	1.355E-4
13.7000	1.368E-4
13.8000	1.369E-4
13.9000	1.371E-4
14.0000	1.372E-4
14.1000	1.376E-4
14.2000	1.386E-4
14.3000	1.388E-4
14.4000	1.390E-4
14.5000	1.395E-4
14.6000	1.400E-4
14.7000	1.406E-4
14.8000	1.409E-4
14.9000	1.410E-4
15.0000	1.416E-4
15.1000	1.420E-4
15.2000	1.422E-4
15.3000	1.424E-4
15.4000	1.429E-4
15.5000	1.434E-4
15.6000	1.437E-4
15.7000	1.440E-4
15.8000	1.443E-4
15.9000	1.447E-4
16.0000	1.449E-4
16.1000	1.449E-4
16.2000	1.449E-4
16.3000	1.452E-4
16.4000	1.459E-4
16.5000	1.463E-4
16.6000	1.464E-4
16.7000	1.467E-4
16.8000	1.470E-4
16.9000	1.471E-4
17.0000	1.471E-4
17.1000	1.472E-4
17.2000	1.471E-4
17.3000	1.471E-4
17.4000	1.472E-4
17.5000	1.474E-4
17.6000	1.480E-4
17.7000	1.483E-4
17.8000	1.485E-4
17.9000	1.487E-4
18.0000	1.487E-4
18.1000	1.487E-4
18.2000	1.487E-4
18.3000	1.487E-4
18.4000	1.487E-4
18.5000	1.488E-4
18.6000	1.494E-4
18.7000	1.500E-4
18.8000	1.502E-4
18.9000	1.502E-4
19.0000	1.503E-4
19.1000	1.503E-4
19.2000	1.503E-4
19.3000	1.504E-4
19.4000	1.506E-4
19.5000	1.509E-4
19.6000	1.510E-4
19.7000	1.511E-4
19.8000	1.512E-4
19.9000	1.516E-4
20.0000	1.522E-4
20.1000	1.528E-4
20.2000	1.529E-4
20.3000	1.531E-4
20.4000	1.532E-4
20.5000	1.534E-4
20.6000	1.536E-4
20.7000	1.535E-4
20.8000	1.536E-4
20.9000	1.542E-4
21.0000	1.545E-4
21.1000	1.546E-4
21.2000	1.546E-4
21.3000	1.551E-4
21.4000	1.558E-4
21.5000	1.560E-4
21.6000	1.559E-4
21.7000	1.560E-4
21.8000	1.563E-4
21.9000	1.566E-4
22.0000	1.568E-4
22.1000	1.570E-4
22.2000	1.570E-4
22.3000	1.575E-4
22.4000	1.579E-4
22.5000	1.582E-4
22.6000	1.587E-4
22.7000	1.593E-4
22.8000	1.596E-4
22.9000	1.598E-4
23.0000	1.602E-4
23.1000	1.605E-4
23.2000	1.606E-4
23.3000	1.608E-4
23.4000	1.612E-4
23.5000	1.617E-4
23.6000	1.618E-4
23.7000	1.618E-4
23.8000	1.618E-4
23.9000	1.618E-4
24.0000	1.618E-4
24.1000	1.618E-4
24.2000	1.621E-4
24.3000	1.632E-4
24.4000	1.640E-4
24.5000	1.646E-4
24.6000	1.650E-4
24.7000	1.656E-4
24.8000	1.662E-4
24.9000	1.663E-4
