Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
0,296.403,65.859,3.88E-04
0.02,296.425,65.859,3.87E-04
0.04,296.533,65.981,3.87E-04
0.06,296.554,65.92,3.87E-04
0.08,296.597,65.981,3.87E-04
0.1,296.64,66.042,3.87E-04
0.12,296.662,66.042,3.87E-04
0.14,296.683,66.042,3.87E-04
0.16,296.683,66.103,3.87E-04
0.18,296.683,66.042,3.87E-04
0.2,296.683,66.042,3.87E-04
0.22,296.748,65.92,3.87E-04
0.24,296.748,66.103,3.87E-04
0.26,296.748,66.164,3.86E-04
0.28,296.77,66.103,3.86E-04
0.3,296.77,66.225,3.86E-04
0.32,296.791,66.164,3.86E-04
0.34,296.834,66.225,3.86E-04
0.36,296.856,66.225,3.86E-04
0.38,296.899,66.286,3.86E-04
0.4,296.942,66.286,3.86E-04
0.42,296.942,66.347,3.86E-04
0.44,296.942,66.408,3.85E-04
0.46,296.942,66.347,3.85E-04
0.48,297.028,66.347,3.85E-04
0.5,297.115,66.408,3.85E-04
0.52,297.115,66.408,3.84E-04
0.54,297.201,66.469,3.84E-04
0.56,297.266,66.591,3.84E-04
0.58,297.287,66.652,3.83E-04
0.6,297.395,66.713,3.83E-04
0.62,297.46,66.836,3.83E-04
0.64,297.503,66.836,3.82E-04
0.66,297.589,66.897,3.82E-04
0.68,297.632,66.958,3.82E-04
0.7,297.632,66.897,3.82E-04
0.72,297.718,67.08,3.81E-04
0.74,297.805,66.958,3.81E-04
0.76,297.805,67.08,3.81E-04
0.78,297.805,67.08,3.81E-04
0.8,297.805,67.08,3.81E-04
0.82,297.805,67.141,3.81E-04
0.84,297.805,67.08,3.81E-04
0.86,297.805,67.141,3.80E-04
0.88,297.891,67.202,3.80E-04
0.9,297.912,67.202,3.80E-04
0.92,297.934,67.263,3.80E-04
0.94,297.934,67.263,3.80E-04
0.96,297.934,67.324,3.80E-04
0.98,297.956,67.263,3.79E-04
1,297.977,67.324,3.79E-04
1.02,298.042,67.385,3.79E-04
1.04,298.107,67.507,3.79E-04
1.06,298.15,67.385,3.79E-04
1.08,298.15,67.507,3.78E-04
1.1,298.15,67.385,3.78E-04
1.12,298.171,67.629,3.78E-04
1.14,298.193,67.568,3.78E-04
1.16,298.236,67.629,3.78E-04
1.18,298.236,67.629,3.78E-04
1.2,298.193,67.629,3.78E-04
1.22,298.193,67.629,3.78E-04
1.24,298.214,67.69,3.78E-04
1.26,298.15,67.568,3.78E-04
1.28,298.171,67.568,3.78E-04
1.3,298.15,67.568,3.78E-04
1.32,298.15,67.568,3.78E-04
1.34,298.15,67.568,3.78E-04
1.36,298.15,67.568,3.77E-04
1.38,298.15,67.751,3.77E-04
1.4,298.236,67.812,3.77E-04
1.42,298.322,67.751,3.76E-04
1.44,298.322,67.873,3.76E-04
1.46,298.43,67.934,3.76E-04
1.48,298.495,67.995,3.75E-04
1.5,298.495,67.934,3.75E-04
1.52,298.495,68.056,3.75E-04
1.54,298.516,67.995,3.75E-04
1.56,298.516,68.056,3.75E-04
1.58,298.559,68.117,3.74E-04
1.6,298.559,68.178,3.74E-04
1.62,298.581,68.178,3.74E-04
1.64,298.602,68.178,3.74E-04
1.66,298.646,68.3,3.74E-04
1.68,298.667,68.3,3.74E-04
1.7,298.667,68.3,3.73E-04
1.72,298.667,68.361,3.73E-04
1.74,298.667,68.3,3.73E-04
1.76,298.71,68.361,3.73E-04
1.78,298.71,68.361,3.73E-04
1.8,298.689,68.361,3.73E-04
1.82,298.667,68.361,3.73E-04
1.84,298.667,68.361,3.73E-04
1.86,298.667,68.361,3.73E-04
1.88,298.667,68.361,3.73E-04
1.9,298.646,68.361,3.73E-04
1.92,298.646,68.361,3.73E-04
1.94,298.646,68.361,3.73E-04
1.96,298.602,68.361,3.73E-04
1.98,298.538,68.3,3.73E-04
2,298.559,68.361,3.73E-04
2.02,298.559,68.484,3.72E-04
2.04,298.602,68.361,3.72E-04
2.06,298.646,68.545,3.72E-04
2.08,298.667,68.667,3.72E-04
2.1,298.667,68.667,3.71E-04
2.12,298.71,68.667,3.71E-04
2.14,298.753,68.667,3.71E-04
2.16,298.732,68.728,3.71E-04
2.18,298.732,68.606,3.71E-04
2.2,298.667,68.667,3.71E-04
2.22,298.667,68.606,3.71E-04
2.24,298.667,68.606,3.71E-04
2.26,298.646,68.728,3.71E-04
2.28,298.646,68.728,3.71E-04
2.3,298.646,68.606,3.71E-04
2.32,298.581,68.545,3.71E-04
2.34,298.624,68.606,3.71E-04
2.36,298.538,68.606,3.71E-04
2.38,298.538,68.606,3.71E-04
2.4,298.495,68.606,3.71E-04
2.42,298.495,68.667,3.71E-04
2.44,298.495,68.667,3.71E-04
2.46,298.495,68.606,3.71E-04
2.48,298.495,68.728,3.71E-04
2.5,298.495,68.667,3.71E-04
2.52,298.516,68.667,3.70E-04
2.54,298.538,68.789,3.70E-04
2.56,298.581,68.789,3.70E-04
2.58,298.516,68.728,3.70E-04
2.6,298.538,68.789,3.70E-04
2.62,298.516,68.85,3.70E-04
2.64,298.495,68.728,3.70E-04
2.66,298.495,68.728,3.70E-04
2.68,298.495,68.728,3.70E-04
2.7,298.495,68.728,3.70E-04
2.72,298.43,68.728,3.70E-04
2.74,298.451,68.789,3.70E-04
2.76,298.408,68.789,3.70E-04
2.78,298.387,68.728,3.70E-04
2.8,298.387,68.667,3.70E-04
2.82,298.365,68.728,3.70E-04
2.84,298.408,68.85,3.70E-04
2.86,298.43,68.789,3.69E-04
2.88,298.473,68.85,3.69E-04
2.9,298.495,68.972,3.69E-04
2.92,298.559,69.033,3.68E-04
2.94,298.559,68.972,3.68E-04
2.96,298.581,69.094,3.68E-04
2.98,298.602,68.972,3.68E-04
3,298.559,69.033,3.68E-04
3.02,298.559,68.972,3.68E-04
3.04,298.516,69.094,3.68E-04
3.06,298.495,69.094,3.68E-04
3.08,298.495,69.094,3.68E-04
3.1,298.495,69.033,3.68E-04
3.12,298.495,68.972,3.68E-04
3.14,298.473,69.033,3.68E-04
3.16,298.473,68.972,3.68E-04
3.18,298.43,69.155,3.68E-04
3.2,298.387,69.033,3.68E-04
3.22,298.365,68.972,3.68E-04
3.24,298.365,68.972,3.68E-04
3.26,298.387,69.094,3.68E-04
3.28,298.387,69.094,3.68E-04
3.3,298.451,69.155,3.67E-04
3.32,298.473,69.216,3.67E-04
3.34,298.495,69.277,3.67E-04
3.36,298.516,69.338,3.67E-04
3.38,298.602,69.338,3.66E-04
3.4,298.602,69.399,3.66E-04
3.42,298.624,69.338,3.66E-04
3.44,298.667,69.338,3.66E-04
3.46,298.646,69.399,3.66E-04
3.48,298.646,69.338,3.66E-04
3.5,298.646,69.399,3.66E-04
3.52,298.602,69.338,3.66E-04
3.54,298.581,69.399,3.66E-04
3.56,298.581,69.338,3.66E-04
3.58,298.516,69.521,3.66E-04
3.6,298.495,69.338,3.66E-04
3.62,298.495,69.399,3.66E-04
3.64,298.495,69.277,3.66E-04
3.66,298.495,69.338,3.66E-04
3.68,298.495,69.399,3.66E-04
3.7,298.451,69.338,3.66E-04
3.72,298.451,69.399,3.66E-04
3.74,298.43,69.338,3.66E-04
3.76,298.408,69.338,3.66E-04
3.78,298.387,69.338,3.66E-04
3.8,298.365,69.338,3.66E-04
3.82,298.344,69.338,3.66E-04
3.84,298.322,69.399,3.66E-04
3.86,298.365,69.399,3.65E-04
3.88,298.43,69.582,3.65E-04
3.9,298.495,69.643,3.65E-04
3.92,298.495,69.704,3.64E-04
3.94,298.538,69.765,3.64E-04
3.96,298.559,69.765,3.64E-04
3.98,298.624,69.704,3.64E-04
4,298.646,69.765,3.64E-04
4.02,298.667,69.826,3.64E-04
4.04,298.646,69.826,3.63E-04
4.06,298.646,69.826,3.63E-04
4.08,298.646,69.826,3.63E-04
4.1,298.646,69.826,3.63E-04
4.12,298.646,69.826,3.63E-04
4.14,298.667,69.826,3.63E-04
4.16,298.667,69.948,3.63E-04
4.18,298.667,70.07,3.63E-04
4.2,298.667,70.07,3.62E-04
4.22,298.71,70.132,3.62E-04
4.24,298.689,70.193,3.62E-04
4.26,298.689,70.132,3.62E-04
4.28,298.71,70.193,3.62E-04
4.3,298.667,70.132,3.62E-04
4.32,298.667,70.132,3.62E-04
4.34,298.667,70.132,3.62E-04
4.36,298.646,70.193,3.62E-04
4.38,298.646,70.132,3.62E-04
4.4,298.602,70.009,3.62E-04
4.42,298.602,70.07,3.62E-04
4.44,298.538,70.193,3.62E-04
4.46,298.538,70.07,3.62E-04
4.48,298.516,70.07,3.62E-04
4.5,298.495,70.07,3.62E-04
4.52,298.495,70.193,3.62E-04
4.54,298.495,70.07,3.62E-04
4.56,298.473,70.07,3.62E-04
4.58,298.473,70.009,3.62E-04
4.6,298.451,70.07,3.62E-04
4.62,298.495,70.009,3.62E-04
4.64,298.408,70.07,3.62E-04
4.66,298.387,70.193,3.62E-04
4.68,298.344,70.07,3.62E-04
4.7,298.387,70.009,3.62E-04
4.72,298.322,70.009,3.62E-04
4.74,298.322,70.009,3.62E-04
4.76,298.322,70.07,3.62E-04
4.78,298.301,70.009,3.62E-04
4.8,298.301,70.07,3.62E-04
4.82,298.322,70.009,3.62E-04
4.84,298.279,70.009,3.62E-04
4.86,298.301,70.132,3.62E-04
4.88,298.322,70.193,3.61E-04
4.9,298.365,70.315,3.61E-04
4.92,298.495,70.315,3.60E-04
4.94,298.516,70.437,3.60E-04
4.96,298.646,70.62,3.60E-04
4.98,298.667,70.62,3.59E-04
5,298.775,70.742,3.59E-04
5.02,298.818,70.803,3.59E-04
5.04,298.84,70.803,3.58E-04
5.06,298.84,70.803,3.58E-04
5.08,298.904,70.864,3.58E-04
5.1,298.926,70.864,3.58E-04
5.12,298.947,70.864,3.58E-04
5.14,298.926,70.864,3.58E-04
5.16,298.904,70.864,3.57E-04
5.18,298.904,70.864,3.58E-04
5.2,298.861,70.864,3.58E-04
5.22,298.84,70.803,3.58E-04
5.24,298.84,70.803,3.58E-04
5.26,298.84,70.864,3.58E-04
5.28,298.84,70.925,3.57E-04
5.3,298.84,70.925,3.57E-04
5.32,298.84,71.047,3.57E-04
5.34,298.883,71.108,3.56E-04
5.36,298.947,71.23,3.56E-04
5.38,299.012,71.23,3.56E-04
5.4,299.012,71.291,3.56E-04
5.42,299.034,71.23,3.56E-04
5.44,299.034,71.23,3.56E-04
5.46,299.012,71.291,3.56E-04
5.48,299.034,71.169,3.56E-04
5.5,299.012,71.23,3.56E-04
5.52,298.969,71.23,3.56E-04
5.54,298.969,71.23,3.56E-04
5.56,298.904,71.291,3.56E-04
5.58,298.883,71.169,3.56E-04
5.6,298.883,71.169,3.55E-04
