Tiempo (s),Temperatura 1 (°C),,,T°,,,,,,
0,26.56,26.56,26.56,26.5601333333333,26.5603044444444,26.5604384814815,26.5605426104938,26.5606204637757,26.5606786167539,26.560721920881
0.05,26.56,26.56,26.56,26.5603,26.5604283333333,26.5605398611111,26.5606181078704,26.5606771119984,26.560720763996,26.5607533784897
0.1,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.15,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.2,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.25,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.3,26.57,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.35,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.4,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.45,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.5,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.55,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.6,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.65,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.7,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.75,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.8,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.85,26.57,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.9,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
0.95,26.56,26.57,26.56,26.56,26.56,26.56,26.56,26.56,26.56,26.56
1,26.57,26.57,26.57,26.57,26.57,26.57,26.56,26.56,26.56,26.56
1.05,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.1,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.15,26.56,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.2,26.56,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.25,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.3,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.35,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.4,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.45,26.56,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.5,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.55,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.6,26.56,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.65,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
1.7,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57
