Tiempo (s),Temperatura 1 (°C),
0,26.97,26.9733333333333
0.05,26.98,26.9725
0.1,26.97,26.97
0.15,26.97,26.97
0.2,26.98,26.97
0.25,26.97,26.97
0.3,26.98,26.97
0.35,26.97,26.97
0.4,26.97,26.97
0.45,26.97,26.97
0.5,26.97,26.97
0.55,26.98,26.98
0.6,26.98,26.98
0.65,26.98,26.98
0.7,26.98,26.98
0.75,26.98,26.98
0.8,26.99,26.99
0.85,26.99,26.99
0.9,26.99,26.99
0.95,26.99,26.99
1,26.99,26.99
1.05,26.99,26.99
1.1,26.99,26.99
1.15,26.99,26.99
1.2,26.99,26.99
1.25,26.99,26.99
1.3,26.99,26.99
1.35,26.99,26.99
1.4,27,27.00
1.45,27,27.00
1.5,27,27.00
1.55,27,27.00
1.6,27,27.00
1.65,27,27.00
1.7,27,27.00
1.75,27,27.00
1.8,27,27.00
1.85,27,27.00
1.9,27,27.00
1.95,27,27.00
2,27.01,27.00
2.05,27,27.01
2.1,27.01,27.01
2.15,27.01,27.01
2.2,27.01,27.01
2.25,27.01,27.01
2.3,27.01,27.01
2.35,27.01,27.01
2.4,27.01,27.01
2.45,27.01,27.01
2.5,27.01,27.01
2.55,27.01,27.01
2.6,27.01,27.01
2.65,27.01,27.01
2.7,27.01,27.01
2.75,27.01,27.01
2.8,27.01,27.01
2.85,27.01,27.01
2.9,27.01,27.01
2.95,27.01,27.01
3,27.02,27.02
3.05,27.02,27.02
3.1,27.02,27.02
3.15,27.02,27.02
3.2,27.02,27.02
3.25,27.02,27.02
3.3,27.02,27.02
3.35,27.02,27.02
3.4,27.02,27.02
3.45,27.03,27.03
3.5,27.03,27.03
3.55,27.04,27.04
3.6,27.04,27.04
3.65,27.04,27.04
3.7,27.04,27.04
3.75,27.04,27.04
3.8,27.04,27.04
3.85,27.05,27.05
3.9,27.05,27.05
3.95,27.05,27.05
4,27.05,27.05
4.05,27.05,27.05
4.1,27.05,27.05
4.15,27.05,27.05
4.2,27.05,27.05
4.25,27.05,27.05
4.3,27.05,27.05
4.35,27.06,27.06
4.4,27.06,27.06
4.45,27.06,27.06
4.5,27.06,27.06
4.55,27.06,27.06
4.6,27.06,27.06
4.65,27.06,27.06
4.7,27.06,27.06
4.75,27.06,27.06
4.8,27.06,27.06
4.85,27.06,27.06
4.9,27.07,27.07
4.95,27.07,27.07
5,27.07,27.07
5.05,27.07,27.07
5.1,27.07,27.07
5.15,27.07,27.07
5.2,27.07,27.07
5.25,27.07,27.07
5.3,27.07,27.07
5.35,27.07,27.07
5.4,27.07,27.07
5.45,27.07,27.07
5.5,27.08,27.08
5.55,27.08,27.08
5.6,27.08,27.08
5.65,27.08,27.08
5.7,27.08,27.08
5.75,27.08,27.08
5.8,27.08,27.08
5.85,27.08,27.08
5.9,27.08,27.08
5.95,27.08,27.08
6,27.08,27.08
6.05,27.08,27.08
6.1,27.08,27.08
6.15,27.08,27.08
6.2,27.09,27.09
6.25,27.09,27.09
6.3,27.09,27.09
6.35,27.1,27.10
6.4,27.1,27.10
6.45,27.1,27.10
6.5,27.1,27.10
6.55,27.1,27.10
6.6,27.1,27.10
6.65,27.1,27.10
6.7,27.11,27.11
6.75,27.11,27.11
6.8,27.11,27.11
6.85,27.11,27.11
6.9,27.11,27.11
6.95,27.11,27.11
7,27.11,27.11
7.05,27.11,27.11
7.1,27.11,27.11
7.15,27.11,27.11
7.2,27.12,27.12
7.25,27.12,27.12
7.3,27.12,27.12
7.35,27.12,27.12
7.4,27.12,27.12
7.45,27.12,27.12
7.5,27.12,27.12
7.55,27.12,27.12
7.6,27.12,27.12
7.65,27.13,27.13
7.7,27.13,27.13
7.75,27.13,27.13
7.8,27.13,27.13
7.85,27.13,27.13
7.9,27.13,27.13
7.95,27.13,27.13
8,27.13,27.13
8.05,27.13,27.13
8.1,27.13,27.13
8.15,27.13,27.13
8.2,27.13,27.13
8.25,27.13,27.13
8.3,27.13,27.13
8.35,27.14,27.14
8.4,27.14,27.14
8.45,27.14,27.14
8.5,27.14,27.14
8.55,27.14,27.14
8.6,27.14,27.14
8.65,27.14,27.14
8.7,27.14,27.14
8.75,27.14,27.14
8.8,27.14,27.14
8.85,27.15,27.14
8.9,27.14,27.15
8.95,27.15,27.15
9,27.15,27.15
9.05,27.15,27.15
9.1,27.16,27.16
9.15,27.16,27.16
9.2,27.16,27.16
9.25,27.16,27.16
9.3,27.16,27.16
9.35,27.16,27.16
9.4,27.16,27.16
9.45,27.17,27.17
9.5,27.17,27.17
9.55,27.17,27.17
9.6,27.17,27.17
9.65,27.17,27.17
9.7,27.17,27.17
9.75,27.17,27.17
9.8,27.17,27.17
9.85,27.17,27.17
9.9,27.17,27.17
9.95,27.18,27.18
10,27.18,27.18
10.05,27.18,27.18
10.1,27.18,27.18
10.15,27.18,27.18
10.2,27.18,27.18
10.25,27.18,27.18
10.3,27.18,27.18
10.35,27.18,27.18
10.4,27.19,27.19
10.45,27.19,27.19
10.5,27.19,27.19
10.55,27.19,27.19
10.6,27.19,27.19
10.65,27.19,27.19
10.7,27.19,27.19
10.75,27.19,27.19
10.8,27.19,27.19
10.85,27.19,27.19
10.9,27.19,27.19
10.95,27.2,27.20
11,27.2,27.20
11.05,27.2,27.20
11.1,27.2,27.20
11.15,27.2,27.20
11.2,27.2,27.20
11.25,27.2,27.20
11.3,27.2,27.20
11.35,27.2,27.20
11.4,27.2,27.20
11.45,27.21,27.21
11.5,27.21,27.21
11.55,27.21,27.21
11.6,27.21,27.21
11.65,27.21,27.21
11.7,27.21,27.21
11.75,27.22,27.22
11.8,27.22,27.22
11.85,27.22,27.22
11.9,27.22,27.22
11.95,27.22,27.22
12,27.22,27.22
12.05,27.22,27.22
12.1,27.22,27.22
12.15,27.22,27.22
12.2,27.22,27.22
12.25,27.23,27.23
12.3,27.23,27.23
12.35,27.23,27.23
12.4,27.23,27.23
12.45,27.23,27.23
12.5,27.23,27.23
12.55,27.23,27.23
12.6,27.23,27.23
12.65,27.23,27.23
12.7,27.23,27.23
12.75,27.23,27.23
12.8,27.24,27.24
12.85,27.24,27.24
12.9,27.24,27.24
12.95,27.24,
13,27.24,
13.05,27.24,
13.1,27.24,
13.15,27.24,
13.2,27.24,
13.25,27.24,
13.3,27.24,
13.35,27.24,
13.4,27.25,
13.45,27.25,
13.5,27.25,
13.55,27.25,
13.6,27.25,
13.65,27.25,
13.7,27.25,
13.75,27.25,
13.8,27.25,
13.85,27.25,
13.9,27.25,
13.95,27.25,
14,27.25,
14.05,27.26,
14.1,27.26,
14.15,27.26,
14.2,27.26,
14.25,27.27,
14.3,27.27,
14.35,27.27,
14.4,27.27,
14.45,27.27,
14.5,27.27,
14.55,27.28,
14.6,27.27,
14.65,27.28,
14.7,27.28,
14.75,27.28,
14.8,27.28,
14.85,27.28,
14.9,27.28,
14.95,27.28,
15,27.28,
15.05,27.28,
15.1,27.28,
15.15,27.29,
15.2,27.29,
