Tiempo (s),Temperatura 1 (°C)
0,27.05
0.05,27.05
0.1,27.05
0.15,27.05
0.2,27.05
0.25,27.05
0.3,27.05
0.35,27.05
0.4,27.05
0.45,27.05
0.5,27.05
0.55,27.05
0.6,27.05
0.65,27.05
0.7,27.05
0.75,27.05
0.8,27.05
0.85,27.05
0.9,27.05
0.95,27.04
1,27.04
1.05,27.05
1.1,27.05
1.15,27.05
1.2,27.05
1.25,27.05
1.3,27.04
1.35,27.05
1.4,27.05
1.45,27.05
1.5,27.04
1.55,27.05
1.6,27.04
1.65,27.05
1.7,27.05
1.75,27.05
1.8,27.05
1.85,27.06
1.9,27.06
1.95,27.06
2,27.06
2.05,27.06
2.1,27.06
2.15,27.06
2.2,27.06
2.25,27.06
2.3,27.06
2.35,27.06
2.4,27.06
2.45,27.07
2.5,27.07
2.55,27.07
2.6,27.07
2.65,27.07
2.7,27.07
2.75,27.07
2.8,27.07
2.85,27.07
2.9,27.07
2.95,27.07
3,27.07
3.05,27.07
3.1,27.07
3.15,27.07
3.2,27.07
3.25,27.08
3.3,27.07
3.35,27.07
3.4,27.07
3.45,27.08
3.5,27.08
3.55,27.08
3.6,27.08
3.65,27.08
3.7,27.08
3.75,27.08
3.8,27.08
3.85,27.08
3.9,27.08
3.95,27.08
4,27.09
4.05,27.09
4.1,27.09
4.15,27.1
4.2,27.1
4.25,27.1
4.3,27.1
4.35,27.1
4.4,27.11
4.45,27.11
4.5,27.11
4.55,27.11
4.6,27.11
4.65,27.11
4.7,27.11
4.75,27.11
4.8,27.11
4.85,27.12
4.9,27.12
4.95,27.12
5,27.12
5.05,27.12
5.1,27.12
5.15,27.12
5.2,27.12
5.25,27.12
5.3,27.12
5.35,27.12
5.4,27.12
5.45,27.13
5.5,27.12
5.55,27.13
5.6,27.13
5.65,27.13
5.7,27.13
5.75,27.13
5.8,27.13
5.85,27.13
5.9,27.13
5.95,27.13
6,27.13
6.05,27.13
6.1,27.13
6.15,27.13
6.2,27.14
6.25,27.14
6.3,27.14
6.35,27.15
6.4,27.15
6.45,27.15
6.5,27.15
6.55,27.16
6.6,27.16
6.65,27.16
6.7,27.16
6.75,27.16
6.8,27.16
6.85,27.16
6.9,27.17
6.95,27.17
7,27.17
7.05,27.17
7.1,27.17
7.15,27.17
7.2,27.17
7.25,27.17
7.3,27.17
7.35,27.17
7.4,27.18
7.45,27.18
7.5,27.18
7.55,27.18
7.6,27.18
7.65,27.18
7.7,27.18
7.75,27.18
7.8,27.18
7.85,27.18
7.9,27.18
7.95,27.18
8,27.18
8.05,27.19
8.1,27.19
8.15,27.19
8.2,27.19
8.25,27.19
8.3,27.19
8.35,27.19
8.4,27.19
8.45,27.19
8.5,27.19
8.55,27.2
8.6,27.19
8.65,27.2
8.7,27.19
8.75,27.2
8.8,27.2
8.85,27.2
8.9,27.2
8.95,27.21
9,27.21
9.05,27.21
9.1,27.22
9.15,27.22
9.2,27.22
9.25,27.22
9.3,27.22
9.35,27.22
9.4,27.22
9.45,27.22
9.5,27.22
9.55,27.23
9.6,27.23
9.65,27.23
9.7,27.23
9.75,27.23
9.8,27.23
9.85,27.23
9.9,27.23
9.95,27.23
10,27.24
10.05,27.23
10.1,27.24
10.15,27.24
10.2,27.24
10.25,27.24
10.3,27.24
10.35,27.24
10.4,27.24
10.45,27.24
10.5,27.24
10.55,27.24
10.6,27.25
10.65,27.25
10.7,27.25
10.75,27.25
10.8,27.25
10.85,27.25
10.9,27.25
10.95,27.25
11,27.25
11.05,27.25
11.1,27.25
11.15,27.25
11.2,27.25
11.25,27.25
11.3,27.26
11.35,27.26
11.4,27.26
11.45,27.26
11.5,27.26
11.55,27.27
11.6,27.27
11.65,27.27
11.7,27.27
11.75,27.27
11.8,27.27
11.85,27.27
11.9,27.27
11.95,27.28
12,27.28
12.05,27.28
12.1,27.28
12.15,27.28
12.2,27.28
12.25,27.28
12.3,27.28
12.35,27.28
12.4,27.28
12.45,27.29
12.5,27.28
12.55,27.29
12.6,27.29
12.65,27.29
12.7,27.29
12.75,27.29
12.8,27.29
12.85,27.29
12.9,27.29
12.95,27.29
13,27.29
13.05,27.29
13.1,27.29
13.15,27.29
13.2,27.3
13.25,27.3
13.3,27.3
13.35,27.3
13.4,27.3
13.45,27.3
13.5,27.3
13.55,27.3
13.6,27.3
13.65,27.3
13.7,27.3
13.75,27.3
13.8,27.31
13.85,27.31
13.9,27.31
13.95,27.32
14,27.32
14.05,27.32
14.1,27.32
14.15,27.32
14.2,27.33
14.25,27.33
14.3,27.33
14.35,27.33
14.4,27.33
14.45,27.33
14.5,27.33
14.55,27.33
14.6,27.33
14.65,27.33
14.7,27.33
14.75,27.34
14.8,27.34
14.85,27.34
14.9,27.34
14.95,27.34
15,27.34
15.05,27.34
15.1,27.34
15.15,27.34
15.2,27.34
15.25,27.34
15.3,27.35
15.35,27.35
15.4,27.35
15.45,27.34
15.5,27.35
15.55,27.35
15.6,27.35
15.65,27.35
15.7,27.35
15.75,27.35
15.8,27.35
15.85,27.35
15.9,27.35
15.95,27.35
16,27.35
16.05,27.35
16.1,27.35
16.15,27.35
16.2,27.36
16.25,27.36
16.3,27.36
16.35,27.36
16.4,27.37
16.45,27.37
16.5,27.37
16.55,27.37
16.6,27.37
16.65,27.37
16.7,27.37
16.75,27.37
16.8,27.38
16.85,27.38
16.9,27.38
16.95,27.38
17,27.38
17.05,27.38
17.1,27.38
17.15,27.38
17.2,27.38
17.25,27.38
17.3,27.38
17.35,27.38
17.4,27.38
17.45,27.39
17.5,27.39
17.55,27.39
17.6,27.39
17.65,27.39
17.7,27.39
17.75,27.39
17.8,27.39
17.85,27.39
17.9,27.39
17.95,27.39
18,27.39
18.05,27.39
18.1,27.39
18.15,27.39
18.2,27.39
18.25,27.39
18.3,27.39
18.35,27.39
18.4,27.39
18.45,27.4
18.5,27.4
18.55,27.4
18.6,27.4
18.65,27.4
18.7,27.4
18.75,27.4
18.8,27.41
18.85,27.41
18.9,27.41
18.95,27.42
19,27.42
19.05,27.42
19.1,27.42
19.15,27.42
19.2,27.42
19.25,27.42
19.3,27.42
19.35,27.42
19.4,27.42
19.45,27.42
19.5,27.42
19.55,27.42
19.6,27.42
19.65,27.43
19.7,27.42
19.75,27.43
19.8,27.43
19.85,27.43
19.9,27.43
19.95,27.43
20,27.43
20.05,27.43
20.1,27.43
20.15,27.43
20.2,27.43
20.25,27.43
20.3,27.43
20.35,27.43
20.4,27.43
20.45,27.43
20.5,27.44
20.55,27.44
20.6,27.44
20.65,27.44
20.7,27.44
20.75,27.44
20.8,27.44
20.85,27.44
20.9,27.44
20.95,27.44
21,27.44
21.05,27.44
21.1,27.44
21.15,27.44
21.2,27.44
21.25,27.44
21.3,27.45
21.35,27.46
21.4,27.46
21.45,27.46
21.5,27.46
21.55,27.46
21.6,27.46
21.65,27.46
21.7,27.46
21.75,27.47
21.8,27.47
21.85,27.47
21.9,27.47
21.95,27.47
22,27.47
22.05,27.47
22.1,27.47
22.15,27.47
22.2,27.47
22.25,27.47
22.3,27.47
22.35,27.47
22.4,27.48
22.45,27.48
22.5,27.48
22.55,27.48
22.6,27.48
22.65,27.48
22.7,27.48
22.75,27.48
22.8,27.48
22.85,27.48
22.9,27.48
22.95,27.48
23,27.48
23.05,27.48
23.1,27.48
23.15,27.48
23.2,27.48
23.25,27.48
23.3,27.48
23.35,27.49
23.4,27.48
23.45,27.49
23.5,27.48
23.55,27.49
23.6,27.49
23.65,27.49
23.7,27.49
23.75,27.49
23.8,27.5
23.85,27.5
23.9,27.5
23.95,27.5
24,27.5
24.05,27.5
24.1,27.5
24.15,27.5
24.2,27.5
24.25,27.51
24.3,27.51
24.35,27.51
24.4,27.51
24.45,27.51
24.5,27.51
24.55,27.51
24.6,27.51
24.65,27.51
24.7,27.51
24.75,27.51
24.8,27.51
24.85,27.51
24.9,27.51
24.95,27.51
25,27.52
25.05,27.52
25.1,27.52
25.15,27.52
25.2,27.52
25.25,27.52
25.3,27.52
25.35,27.52
25.4,27.52
25.45,27.52
25.5,27.52
25.55,27.52
25.6,27.52
25.65,27.52
25.7,27.52
25.75,27.52
25.8,27.52
25.85,27.52
25.9,27.52
