Tiempo (s),Temperatura 1 (°C),,,,,,T°
0,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.01,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.02,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.03,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.04,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.05,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.06,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.07,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.08,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.09,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.1,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.11,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.12,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.13,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.14,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.15,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.16,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.17,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.18,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.19,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.2,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.21,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.22,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.23,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.24,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.25,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.26,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.27,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.28,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.29,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.3,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.31,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.32,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.33,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.34,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.35,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.36,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.37,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.38,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.39,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.4,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.41,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.42,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.43,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.44,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.45,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.46,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.47,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.48,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.49,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.5,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.51,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.52,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.53,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.54,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.55,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.56,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.57,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.58,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.59,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.6,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.61,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.62,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.63,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.64,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.65,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.66,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.67,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.68,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.69,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.7,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.71,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.72,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.73,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.74,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.75,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.76,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.77,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.78,26.95,26.95,26.95,26.95,26.95,26.95,26.95
0.79,26.95,26.95,26.95,26.95,26.95,26.95,26.95
